Broj izvještaja,Broj naloga,Datum izdavanja,Status verifikacije,Zahtjev za verifikaciju,Metoda,Vrsta,Proizvođač,Uređaj,Serijski broj,Verifikacija ispravna,Spoljašnji pregled 1,Spoljašnji pregled 2,Spoljašnji pregled 3,Spoljašnji pregled 4,VERIFIKACIJA GREŠKE MJERILA:,1: Zadana vrijednost [ml],1: Mjerena vrijednost [ml],1: Greška mjerenja [ % ],1: Dozvoljeno odstupanje  [ ± % ],1: Usklađeno,2: Zadana vrijednost [ml],2: Mjerena vrijednost [ml],2: Greška mjerenja [ % ],2: Dozvoljeno odstupanje  [ ± % ],2: Usklađeno,3: Zadana vrijednost [ml],3: Mjerena vrijednost [ml],3: Greška mjerenja [ % ],3: Dozvoljeno odstupanje  [ ± % ],3: Usklađeno,4: Zadana vrijednost [ml],4: Mjerena vrijednost [ml],4: Greška mjerenja [ % ],4: Dozvoljeno odstupanje  [ ± % ],4: Usklađeno,5: Zadana vrijednost [ml],5: Mjerena vrijednost [ml],5: Greška mjerenja [ % ],5: Dozvoljeno odstupanje  [ ± % ],5: Usklađeno,6: Zadana vrijednost [ml],6: Mjerena vrijednost [ml],6: Greška mjerenja [ % ],6: Dozvoljeno odstupanje  [ ± % ],6: Usklađeno,VERIFIKACIJA GREŠKE MJERILA:,19: Zadana vrijednost [%],19: Mjerena vrijednost [%],19: Greška mjerenja [ % ],19: Dozvoljeno odstupanje  [ ± % ],19: Usklađeno,20: Zadana vrijednost [%],20: Mjerena vrijednost [%],20: Greška mjerenja [ % ],20: Dozvoljeno odstupanje  [ ± % ],20: Usklađeno,21: Zadana vrijednost [%],21: Mjerena vrijednost [%],21: Greška mjerenja [ % ],21: Dozvoljeno odstupanje  [ ± % ],21: Usklađeno,22: Zadana vrijednost [%],22: Mjerena vrijednost [],22: Greška mjerenja [ % ],22: Dozvoljeno odstupanje  [ ± % ],22: Usklađeno,23: Zadana vrijednost [%],23: Mjerena vrijednost [%],23: Greška mjerenja [ % ],23: Dozvoljeno odstupanje  [ ± % ],23: Usklađeno,Napomena
246/23,246/VL/23,13.1.2023.,Završena,Ugovor br. 02D3108-6/22 od 06.04.2022.,Komparativna,Redovna,Datex Ohmeda,S/5 Aespire,ANCK00865,DA,DA,DA,DA,DA,Volumen,100,97,3,10,DA,200,199,"0,5",10,DA,400,408,2,10,DA,600,590,"1,67",10,DA,800,750,"6,25",10,DA,1000,911,"8,9",10,DA,Koncentracija anestezioloških gasova,1,"1,03","0,03",1,DA,2,"2,16","0,16",1,DA,4,"4,44","0,44",1,DA,6,"5,9","0,1",1,DA,7,"6,61","0,39",1,DA,
228/23,228/VL/23,13.1.2023.,Završena,Ugovor br. 02D3108-6/22 od 06.04.2022.,Komparativna,Redovna,MAQUET,FLOW 1,7664,DA,DA,DA,DA,DA,Volumen,100,94,6,10,DA,200,187,"6,5",10,DA,400,368,8,10,DA,600,551,"8,17",10,DA,800,729,"8,88",10,DA,1000,962,"3,8",10,DA,Koncentracija anestezioloških gasova,1,"0,71","0,29",1,DA,2,"1,74","0,26",1,DA,4,"3,97","0,03",1,DA,6,"6,19","0,19",1,DA,8,"7,65","0,35",1,DA,
342/23,342/VL/23,20.1.2023.,Završena,Narudžbenica od 13.01.2023.,Komparativna,Redovna,DRAGER,SULA 808V,245S,DA,DA,DA,DA,DA,Volumen,200,0,0,10,DA,300,0,0,10,DA,400,0,0,10,DA,500,0,0,10,DA,700,0,0,10,DA,900,0,0,10,DA,Koncentracija anestezioloških gasova,1,"0,83","0,17",1,DA,2,"1,76","0,24",1,DA,4,"3,82","0,18",1,DA,6,"5,7","0,3",1,DA,8,"7,46","0,54",1,DA,
396/23,396/VL/23,27.1.2023.,Završena,Narudžbenica od 27.01.2023.,Komparativna,Redovna,GE - General Electric,CARESTATION 650,SM715250029WA,DA,DA,DA,DA,DA,Volumen,100,94,6,10,DA,200,193,"3,5",10,DA,400,395,"1,25",10,DA,600,598,"0,33",10,DA,800,770,"3,75",10,DA,1000,960,4,10,DA,Koncentracija anestezioloških gasova,1,"1,15","0,15",1,DA,2,"1,76","0,24",1,DA,3,"2,75","0,25",1,DA,4,"3,79","0,21",1,DA,5,"4,88","0,12",1,DA,
393/23,393/VL/23,27.1.2023.,Završena,Narudžbenica od 27.01.2023.,Komparativna,Redovna,DRAGER,JULIAN,3891/21,NE,DA,DA,DA,NE,Volumen,200,0,0,10,DA,300,0,0,10,DA,400,0,0,10,DA,500,0,0,10,DA,700,0,0,10,DA,900,0,0,10,DA,Koncentracija anestezioloških gasova,1,0,0,1,DA,2,0,0,1,DA,3,0,0,1,DA,4,0,0,1,DA,5,0,0,1,DA,Mjerilo nije usklađeno. Na anesteziološkoj mašini ventilator/motor koji pokreće ventilaciju nije ispravan.
398/23,398/VL/23,30.1.2023.,Završena,Okvirni sporazum br. 173/22-2 od 23.09.2022.,Komparativna,Prva,DRAGER,ATLAN A350,ASRF-0388,DA,DA,DA,DA,DA,Volumen,100,103,3,10,DA,200,187,"6,5",10,DA,400,368,8,10,DA,600,561,"6,5",10,DA,800,743,"7,12",10,DA,1000,926,"7,4",10,DA,Koncentracija anestezioloških gasova,1,"0,98","0,02",1,DA,3,"3,02","0,02",1,DA,4,"4,16","0,16",1,DA,5,"5,02","0,02",1,DA,6,"5,98","0,02",1,DA,
682/23,682/VL/23,14.2.2023.,Završena,Narudžbenica br. 4/23 od 23.01.2023.,Komparativna,Redovna,Datex Ohmeda,Datex Ohmeda,AMXH00532,DA,DA,DA,DA,DA,Volumen,100,98,2,10,DA,200,185,"7,5",10,DA,400,380,5,10,DA,600,583,"2,83",10,DA,800,741,"7,38",10,DA,1000,947,"5,3",10,DA,Koncentracija anestezioloških gasova,1,"0,98","0,02",1,DA,2,"2,05","0,05",1,DA,4,"3,91","0,09",1,DA,5,"4,95","0,05",1,DA,6,"5,89","0,11",1,DA,
697/23,697/VL/23,15.2.2023.,Završena,Narudžbenica od 15.02.2023.,Komparativna,Redovna,Datex Ohmeda,9100C,ME15110724,DA,DA,DA,DA,DA,Volumen,100,91,9,10,DA,200,185,"7,5",10,DA,400,378,"5,5",10,DA,600,559,"6,83",10,DA,800,753,"5,88",10,DA,1000,937,"6,3",10,DA,Koncentracija anestezioloških gasova,1,"1,04","0,04",1,DA,2,"1,95","0,05",1,DA,3,"2,92","0,08",1,DA,4,"4,07","0,07",1,DA,5,"5,09","0,09",1,DA,
695/23,695/VL/23,15.2.2023.,Završena,Narudžbenica od 27.01.2023. - Reverifikacija,Komparativna,Redovna,DRAGER,JULIAN,3891/21,DA,DA,DA,DA,DA,Volumen,100,92,8,10,DA,200,205,"2,5",10,DA,400,403,"0,75",10,DA,600,606,1,10,DA,800,774,"3,25",10,DA,1000,934,"6,6",10,DA,Koncentracija anestezioloških gasova,1,"1,06","0,06",1,DA,2,"1,99","0,01",1,DA,3,"2,98","0,02",1,DA,4,"3,98","0,02",1,DA,5,"4,96","0,04",1,DA,
771/23,771/VL/23,17.2.2023.,Završena,Narudžbenica od 19.01.2023.,Komparativna,Redovna,MEDEC BENELUX,Neptune,11158,DA,DA,DA,DA,DA,Volumen,200,0,0,10,DA,300,0,0,10,DA,400,0,0,10,DA,500,0,0,10,DA,700,0,0,10,DA,900,0,0,10,DA,Koncentracija anestezioloških gasova,1,"0,74","0,26",1,DA,2,"1,6","0,4",1,DA,3,"2,48","0,52",1,DA,5,"4,36","0,64",1,DA,7,"6,31","0,69",1,DA,
724/23,724/VL/23,24.2.2023.,Završena,Narudžbenica br. 32-04-2465/22-477,Komparativna,Prva,DRAGER,PERSEUS A500,ASRD-0095,DA,DA,DA,DA,DA,Volumen,100,103,3,10,DA,200,189,"5,5",10,DA,400,380,5,10,DA,600,578,"3,67",10,DA,800,756,"5,5",10,DA,1000,947,"5,3",10,DA,Koncentracija anestezioloških gasova,1,"1,09","0,09",1,DA,2,"2,06","0,06",1,DA,3,"2,9","0,1",1,DA,4,"3,89","0,11",1,DA,5,"4,94","0,06",1,DA,
722/23,722/VL/23,24.2.2023.,Završena,Narudžbenica br. 32-04-2465/22-477,Komparativna,Prva,DRAGER,PERSEUS A500,ASRD-0098,DA,DA,DA,DA,DA,Volumen,100,98,2,10,DA,200,187,"6,5",10,DA,400,371,"7,25",10,DA,600,574,"4,33",10,DA,800,751,"6,13",10,DA,1000,952,"4,8",10,DA,Koncentracija anestezioloških gasova,1,"0,94","0,06",1,DA,2,"1,91","0,09",1,DA,3,"2,93","0,07",1,DA,4,"4,08","0,08",1,DA,5,"5,06","0,06",1,DA,
720/23,720/VL/23,27.2.2023.,Završena,Narudžbenica br. 32-04-2465/22-477,Komparativna,Prva,DRAGER,PERSEUS A500,ASRD-0096,DA,DA,DA,DA,DA,Volumen,100,94,6,10,DA,200,191,"4,5",10,DA,400,370,"7,5",10,DA,600,548,"8,67",10,DA,800,735,"8,13",10,DA,1000,941,"5,9",10,DA,Koncentracija anestezioloških gasova,1,"0,98","0,02",1,DA,2,"2,04","0,04",1,DA,3,"2,91","0,09",1,DA,4,"3,9","0,1",1,DA,5,"4,93","0,07",1,DA,
833/23,833/VL/23,8.3.2023.,Završena,Ugovor od 27.02.2023.,Komparativna,Prva,DRAGER,PERSEUS A500,ASRB-0169,DA,DA,DA,DA,DA,Volumen,100,91,9,10,DA,200,184,8,10,DA,400,376,6,10,DA,600,566,"5,67",10,DA,800,729,"8,88",10,DA,1000,911,"8,9",10,DA,Koncentracija anestezioloških gasova,1,"0,94","0,06",1,DA,2,"1,88","0,12",1,DA,4,"4,18","0,18",1,DA,5,"5,07","0,07",1,DA,6,"5,94","0,06",1,DA,
840/23,840/VL/23,8.3.2023.,Završena,Ugovor od 27.02.2023.,Komparativna,Prva,DRAGER,PERSEUS A500,ASRB-0172,DA,DA,DA,DA,DA,Volumen,100,92,8,10,DA,200,187,"6,5",10,DA,400,378,"5,5",10,DA,600,562,"6,33",10,DA,800,742,"7,25",10,DA,1000,911,"8,9",10,DA,Koncentracija anestezioloških gasova,1,"0,9","0,1",1,DA,2,"1,91","0,09",1,DA,3,"3,05","0,05",1,DA,4,"3,99","0,01",1,DA,5,"4,99","0,01",1,DA,
838/23,838/VL/23,8.3.2023.,Završena,Ugovor od 27.02.2023.,Komparativna,Prva,DRAGER,PERSEUS A500,ASRB-0173,DA,DA,DA,DA,DA,Volumen,100,92,8,10,DA,200,185,"7,5",10,DA,400,376,6,10,DA,600,553,"7,83",10,DA,800,726,"9,25",10,DA,1000,935,"6,5",10,DA,Koncentracija anestezioloških gasova,1,"1,04","0,04",1,DA,2,"1,93","0,07",1,DA,3,"3,12","0,12",1,DA,4,"3,95","0,05",1,DA,5,"4,98","0,02",1,DA,
836/23,836/VL/23,8.3.2023.,Završena,Ugovor od 27.02.2023.,Komparativna,Prva,DRAGER,PERSEUS A500,ASRB-0171,DA,DA,DA,DA,DA,Volumen,100,98,2,10,DA,200,187,"6,5",10,DA,400,365,"8,75",10,DA,600,559,"6,83",10,DA,800,737,"7,88",10,DA,1000,925,"7,5",10,DA,Koncentracija anestezioloških gasova,1,"0,94","0,06",1,DA,2,"1,7","0,3",1,DA,3,"2,81","0,19",1,DA,4,"3,68","0,32",1,DA,5,"4,88","0,12",1,DA,
901/23,901/VL/23,10.3.2023.,Završena,Narudžbenica br. 22 od 13.02.2023.,Komparativna,Prva,GE - General Electric,CARESTATION 750,SQS22340014WA,DA,DA,DA,DA,DA,Volumen,100,98,2,10,DA,200,187,"6,5",10,DA,400,381,"4,75",10,DA,600,568,"5,33",10,DA,800,761,"4,88",10,DA,1000,945,"5,5",10,DA,Koncentracija anestezioloških gasova,1,"0,87","0,13",1,DA,2,"1,89","0,11",1,DA,3,"2,91","0,09",1,DA,4,"3,95","0,05",1,DA,5,"4,97","0,03",1,DA,
1159/23,1159/VL/23,29.3.2023.,Završena,Ugovor br. 04-427-2-2/23 od 22.02.2023.,Komparativna,Prva,GE - General Electric,CARESTATION 750,SQS2234002WA,DA,DA,DA,DA,DA,Volumen,100,95,5,10,DA,200,198,1,10,DA,400,379,"5,25",10,DA,600,577,"3,83",10,DA,800,762,"4,75",10,DA,1000,915,"8,5",10,DA,Koncentracija anestezioloških gasova,1,"1,04","0,04",1,DA,2,"1,96","0,04",1,DA,3,"2,97","0,03",1,DA,4,"3,91","0,09",1,DA,5,"5,11","0,11",1,DA,
1165/23,1165/VL/23,29.3.2023.,Završena,Ugovor br. 04-427-2-2/23 od 22.02.2023.,Komparativna,Redovna,LOWENSTEIN MEDICAL,LEON PLUS,0200010HUL00200612,DA,DA,DA,DA,DA,Volumen,200,0,0,10,DA,300,0,0,10,DA,400,0,0,10,DA,500,0,0,10,DA,700,0,0,10,DA,900,0,0,10,DA,Koncentracija anestezioloških gasova,1,"0,96","0,04",1,DA,2,"2,14","0,14",1,DA,3,"2,93","0,07",1,DA,4,"3,91","0,09",1,DA,5,"4,88","0,12",1,DA,
1167/23,1167/VL/23,29.3.2023.,Završena,Ugovor br. 04-427-2-2/23 od 22.02.2023.,Komparativna,Redovna,MAQUET,FLOW-I,5863,DA,DA,DA,DA,DA,Volumen,200,0,0,10,DA,300,0,0,10,DA,400,0,0,10,DA,500,0,0,10,DA,700,0,0,10,DA,900,0,0,10,DA,Koncentracija anestezioloških gasova,1,"0,87","0,13",1,DA,2,"2,06","0,06",1,DA,3,"2,95","0,05",1,DA,4,"3,91","0,09",1,DA,5,"4,9","0,1",1,DA,
1161/23,1161/VL/23,29.3.2023.,Završena,Ugovor br. 04-427-2-2/23 od 22.02.2023.,Komparativna,Redovna,GE - General Electric,CARESTATION 620,SM618300090WA,DA,DA,DA,DA,DA,Volumen,100,91,9,10,DA,200,183,"8,5",10,DA,400,396,1,10,DA,600,584,"2,67",10,DA,800,805,"0,63",10,DA,1000,975,"2,5",10,DA,Koncentracija anestezioloških gasova,1,"0,93","0,07",1,DA,2,"2,05","0,05",1,DA,3,"2,96","0,04",1,DA,4,"3,85","0,15",1,DA,5,"4,91","0,09",1,DA,
1180/23,1180/VL/23,30.3.2023.,Završena,Narudžbenica od 30.03.2023.,Komparativna,Redovna,DRAGER,PRIMUS,ARTL-0074,DA,DA,DA,DA,DA,Volumen,100,104,4,10,DA,200,209,"4,5",10,DA,400,362,"9,5",10,DA,600,562,"6,33",10,DA,800,726,"9,25",10,DA,1000,931,"6,9",10,DA,Koncentracija anestezioloških gasova,1,"1,08","0,08",1,DA,2,"1,98","0,02",1,DA,3,"3,04","0,04",1,DA,4,"3,99","0,01",1,DA,5,"4,96","0,04",1,DA,
1314/23,1314/VL/23,4.4.2023.,Završena,3/21/2023,Komparativna,Redovna,Heinen Lowenstein,LEON,0200020hul99920520,DA,DA,DA,DA,DA,Volumen,200,0,0,10,DA,300,0,0,10,DA,400,0,0,10,DA,500,0,0,10,DA,700,0,0,10,DA,900,0,0,10,DA,Koncentracija anestezioloških gasova,1,"1,05","0,05",1,DA,2,"1,9","0,1",1,DA,3,"3,03","0,03",1,DA,4,"3,96","0,04",1,DA,5,"4,92","0,08",1,DA,
1425/23,1425/VL/23,5.4.2023.,Završena,Narudžbenica br. 32-04-2465/22-848 od 14.04.2023.,Komparativna,Redovna,DRAGER,TITUS,ARMA-0026,DA,DA,DA,DA,DA,Volumen,200,0,0,10,DA,300,0,0,10,DA,400,0,0,10,DA,500,0,0,10,DA,700,0,0,10,DA,900,0,0,10,DA,Koncentracija anestezioloških gasova,1,"0,93","0,07",1,DA,2,"1,85","0,15",1,DA,3,"2,96","0,04",1,DA,4,"3,93","0,07",1,DA,5,"4,31","0,69",1,DA,
1376/23,1376/VL/23,6.4.2023.,Završena,Narudžbenica br. 393 od 22.03.2023.,Komparativna,Redovna,DRAGER,PRIMUS,ASLC-0145,DA,DA,DA,DA,DA,Volumen,100,94,6,10,DA,200,184,8,10,DA,400,365,"8,75",10,DA,600,578,"3,67",10,DA,800,731,"8,63",10,DA,1000,932,"6,8",10,DA,Koncentracija anestezioloških gasova,1,"1,04","0,04",1,DA,2,"1,56","0,44",1,DA,3,"2,99","0,01",1,DA,4,"4,09","0,09",1,DA,5,"4,59","0,41",1,DA,
1379/23,1379/VL/23,6.4.2023.,Završena,Narudžbenica br. 393 od 22.03.2023.,Komparativna,Redovna,DRAGER,PRIMUS,ARZH-0241,DA,DA,DA,DA,DA,Volumen,100,95,5,10,DA,200,181,"9,5",10,DA,400,373,"6,75",10,DA,600,576,4,10,DA,800,736,8,10,DA,1000,947,"5,3",10,DA,Koncentracija anestezioloških gasova,1,"0,96","0,04",1,DA,2,"1,98","0,02",1,DA,3,"3,14","0,14",1,DA,4,"4,04","0,04",1,DA,5,"4,74","0,26",1,DA,
1377/23,1377/VL/23,6.4.2023.,Završena,Narudžbenica br. 393 od 22.03.2023.,Komparativna,Redovna,DRAGER,PRIMUS,ASLC-0142,DA,DA,DA,DA,DA,Volumen,100,92,8,10,DA,200,184,8,10,DA,400,361,"9,75",10,DA,600,557,"7,17",10,DA,800,735,"8,13",10,DA,1000,923,"7,7",10,DA,Koncentracija anestezioloških gasova,1,"1,13","0,13",1,DA,2,"1,88","0,12",1,DA,3,"2,94","0,06",1,DA,4,"3,97","0,03",1,DA,5,"4,82","0,18",1,DA,
1382/23,1382/VL/23,6.4.2023.,Završena,Narudžbenica br. 393 od 22.03.2023.,Komparativna,Redovna,MAQUET,FLOW-I,6635,DA,DA,DA,DA,DA,Volumen,100,100,0,10,DA,200,199,"0,5",10,DA,400,364,9,10,DA,600,550,"8,33",10,DA,800,787,"1,63",10,DA,1000,941,"5,9",10,DA,Koncentracija anestezioloških gasova,1,"0,96","0,04",1,DA,2,"1,73","0,27",1,DA,3,"2,87","0,13",1,DA,4,"4,22","0,22",1,DA,5,"5,13","0,13",1,DA,
1380/23,1380/VL/23,6.4.2023.,Završena,Narudžbenica br. 393 od 22.03.2023.,Komparativna,Redovna,DRAGER,PRIMUS,ASLC-0139,DA,DA,DA,DA,DA,Volumen,100,103,3,10,DA,200,185,"7,5",10,DA,400,371,"7,25",10,DA,600,563,"6,17",10,DA,800,753,"5,88",10,DA,1000,954,"4,6",10,DA,Koncentracija anestezioloških gasova,1,"0,8","0,2",1,DA,2,"1,89","0,11",1,DA,3,"2,91","0,09",1,DA,4,"3,89","0,11",1,DA,5,"4,86","0,14",1,DA,
1378/23,1378/VL/23,6.4.2023.,Završena,Narudžbenica br. 393 od 22.03.2023.,Komparativna,Redovna,DRAGER,PRIMUS,ARZH-0238,DA,DA,DA,DA,DA,Volumen,100,107,7,10,DA,200,189,"5,5",10,DA,400,378,"5,5",10,DA,600,574,"4,33",10,DA,800,756,"5,5",10,DA,1000,959,"4,1",10,DA,Koncentracija anestezioloških gasova,1,"1,04","0,04",1,DA,2,"1,87","0,13",1,DA,3,"3,13","0,13",1,DA,4,"3,97","0,03",1,DA,5,"4,79","0,21",1,DA,
1381/23,1381/VL/23,6.4.2023.,Završena,Narudžbenica br. 393 od 22.03.2023.,Komparativna,Redovna,MAQUET,FLOW,6636,DA,DA,DA,DA,DA,Volumen,100,92,8,10,DA,200,184,8,10,DA,400,372,7,10,DA,600,584,"2,67",10,DA,800,731,"8,63",10,DA,1000,909,"9,1",10,DA,Koncentracija anestezioloških gasova,1,"0,83","0,17",1,DA,2,"2,19","0,19",1,DA,3,"2,86","0,14",1,DA,4,"3,76","0,24",1,DA,5,"5,15","0,15",1,DA,
1375/23,1375/VL/23,6.4.2023.,Završena,Narudžbenica br. 393 od 22.03.2023.,Komparativna,Redovna,DRAGER,PRIMUS,ASLC-0141,DA,DA,DA,DA,DA,Volumen,100,98,2,10,DA,200,182,9,10,DA,400,362,"9,5",10,DA,600,542,"9,67",10,DA,800,731,"8,63",10,DA,1000,915,"8,5",10,DA,Koncentracija anestezioloških gasova,1,"1,2","0,2",1,DA,2,"1,91","0,09",1,DA,3,"2,94","0,06",1,DA,4,"3,8","0,2",1,DA,5,"4,75","0,25",1,DA,
