Broj izvještaja,Broj naloga,Datum izdavanja,Status verifikacije,Zahtjev za verifikaciju,Metoda,Vrsta,Proizvođač,Uređaj,Serijski broj,Verifikacija ispravna,Spoljašnji pregled 1,Spoljašnji pregled 2,Spoljašnji pregled 3,Spoljašnji pregled 4,VERIFIKACIJA GREŠKE MJERILA:,1: Zadana vrijednost [ml],1: Mjerena vrijednost [ml],1: Greška mjerenja [ % ],1: Dozvoljeno odstupanje  [ ± % ],1: Usklađeno,2: Zadana vrijednost [ml],2: Mjerena vrijednost [ml],2: Greška mjerenja [ % ],2: Dozvoljeno odstupanje  [ ± % ],2: Usklađeno,3: Zadana vrijednost [ml],3: Mjerena vrijednost [ml],3: Greška mjerenja [ % ],3: Dozvoljeno odstupanje  [ ± % ],3: Usklađeno,4: Zadana vrijednost [ml],4: Mjerena vrijednost [ml],4: Greška mjerenja [ % ],4: Dozvoljeno odstupanje  [ ± % ],4: Usklađeno,5: Zadana vrijednost [ml],5: Mjerena vrijednost [ml],5: Greška mjerenja [ % ],5: Dozvoljeno odstupanje  [ ± % ],5: Usklađeno,6: Zadana vrijednost [ml],6: Mjerena vrijednost [ml],6: Greška mjerenja [ % ],6: Dozvoljeno odstupanje  [ ± % ],6: Usklađeno,VERIFIKACIJA GREŠKE MJERILA:,7: Zadana vrijednost [mbar],7: Mjerena vrijednost [mbar],7: Greška mjerenja [ % ],7: Dozvoljeno odstupanje  [ ± % ],7: Usklađeno,8: Zadana vrijednost [mbar],8: Mjerena vrijednost [mbar],8: Greška mjerenja [ % ],8: Dozvoljeno odstupanje  [ ± % ],8: Usklađeno,9: Zadana vrijednost [mbar],9: Mjerena vrijednost [mbar],9: Greška mjerenja [ % ],9: Dozvoljeno odstupanje  [ ± % ],9: Usklađeno,10: Zadana vrijednost [mbar],10: Mjerena vrijednost [mbar],10: Greška mjerenja [ % ],10: Dozvoljeno odstupanje  [ ± % ],10: Usklađeno,11: Zadana vrijednost [mbar],11: Mjerena vrijednost [mbar],11: Greška mjerenja [ % ],11: Dozvoljeno odstupanje  [ ± % ],11: Usklađeno,12: Zadana vrijednost [mbar],12: Mjerena vrijednost [mbar],12: Greška mjerenja [ % ],12: Dozvoljeno odstupanje  [ ± % ],12: Usklađeno,Napomena
709/24,709/VL/24,11.3.2024.,Završena,Narudzbenica br. 574/23 od 20.11.2023.,Komparativna,Redovna,COVIDIEN,NEWPORT E360,G192050149,DA,DA,DA,DA,DA,Volumen,100,95,5,10,DA,200,189,"5,5",10,DA,400,380,5,10,DA,600,564,6,10,DA,800,767,"4,13",10,DA,1000,942,"5,8",10,DA,Pritisak,200,0,0,10,DA,300,0,0,10,DA,400,0,0,10,DA,500,0,0,10,DA,700,0,0,10,DA,900,0,0,10,DA,
697/24,697/VL/24,11.3.2024.,Završena,Narudzbenica br. 574/23 od 20.11.2023.,Komparativna,Redovna,MAQUET,SERVO-I,100975,DA,DA,DA,DA,DA,Volumen,100,95,5,10,DA,200,189,"5,5",10,DA,400,387,"3,25",10,DA,600,577,"3,83",10,DA,800,780,"2,5",10,DA,1000,955,"4,5",10,DA,Pritisak,200,0,0,10,DA,300,0,0,10,DA,400,0,0,10,DA,500,0,0,10,DA,700,0,0,10,DA,900,0,0,10,DA,
696/24,696/VL/24,11.3.2024.,Završena,Narudzbenica br. 574/23 od 20.11.2023.,Komparativna,Redovna,MAQUET,SERVO I,85356,DA,DA,DA,DA,DA,Volumen,100,97,3,10,DA,200,186,7,10,DA,400,391,"2,25",10,DA,600,588,2,10,DA,800,779,"2,63",10,DA,1000,972,"2,8",10,DA,Pritisak,200,0,0,10,DA,300,0,0,10,DA,400,0,0,10,DA,500,0,0,10,DA,700,0,0,10,DA,900,0,0,10,DA,
700/24,700/VL/24,11.3.2024.,Završena,Narudzbenica br. 574/23 od 20.11.2023.,Komparativna,Redovna,DRAGER,EVITA INFINITY V500,ASPE-0016,DA,DA,DA,DA,DA,Volumen,100,95,5,10,DA,200,191,"4,5",10,DA,400,392,2,10,DA,600,588,2,10,DA,800,770,"3,75",10,DA,1000,960,4,10,DA,Pritisak,200,0,0,10,DA,300,0,0,10,DA,400,0,0,10,DA,500,0,0,10,DA,700,0,0,10,DA,900,0,0,10,DA,
699/24,699/VL/24,11.3.2024.,Završena,Narudzbenica br. 574/23 od 20.11.2023.,Komparativna,Redovna,MAQUET,SERVO-i,19331,DA,DA,DA,DA,DA,Volumen,100,95,5,10,DA,200,186,7,10,DA,400,390,"2,5",10,DA,600,588,2,10,DA,800,752,6,10,DA,1000,944,"5,6",10,DA,Pritisak,200,0,0,10,DA,300,0,0,10,DA,400,0,0,10,DA,500,0,0,10,DA,700,0,0,10,DA,900,0,0,10,DA,
753/24,753/VL/24,13.3.2024.,Završena,Ugovor br. 278/23-2 od 24.10.2023.,Komparativna,Redovna,MINDRAY,SYNOVENT E5,EE-07005467,DA,DA,DA,DA,DA,Volumen,100,96,4,10,DA,200,195,"2,5",10,DA,400,387,"3,25",10,DA,600,589,"1,83",10,DA,800,791,"1,13",10,DA,1000,950,5,10,DA,Pritisak,200,0,0,10,DA,300,0,0,10,DA,400,0,0,10,DA,500,0,0,10,DA,700,0,0,10,DA,900,0,0,10,DA,
751/24,751/VL/24,13.3.2024.,Završena,Ugovor br. 278/23-2 od 24.10.2023.,Komparativna,Redovna,MINDRAY,SYNOVENT E5,EE-07005471,DA,DA,DA,DA,DA,Volumen,100,95,5,10,DA,200,191,"4,5",10,DA,400,388,3,10,DA,600,574,"4,33",10,DA,800,792,1,10,DA,1000,960,4,10,DA,Pritisak,200,0,0,10,DA,300,0,0,10,DA,400,0,0,10,DA,500,0,0,10,DA,700,0,0,10,DA,900,0,0,10,DA,
749/24,749/VL/24,13.3.2024.,Završena,Ugovor br. 278/23-2 od 24.10.2023.,Komparativna,Redovna,MINDRAY,SV800,AA2-88000179,DA,DA,DA,DA,DA,Volumen,100,95,5,10,DA,200,191,"4,5",10,DA,400,389,"2,75",10,DA,600,590,"1,67",10,DA,800,783,"2,13",10,DA,1000,951,"4,9",10,DA,Pritisak,200,0,0,10,DA,300,0,0,10,DA,400,0,0,10,DA,500,0,0,10,DA,700,0,0,10,DA,900,0,0,10,DA,
769/24,769/VL/24,13.3.2024.,Završena,Ugovor br. 278/23-2 od 24.10.2023.,Komparativna,Redovna,MINDRAY,SYNO VENT E5,EE-07005474,DA,DA,DA,DA,DA,Volumen,100,96,4,10,DA,200,196,2,10,DA,400,391,"2,25",10,DA,600,578,"3,67",10,DA,800,780,"2,5",10,DA,1000,961,"3,9",10,DA,Pritisak,200,0,0,10,DA,300,0,0,10,DA,400,0,0,10,DA,500,0,0,10,DA,700,0,0,10,DA,900,0,0,10,DA,
750/24,750/VL/24,13.3.2024.,Završena,Ugovor br. 278/23-2 od 24.10.2023.,Komparativna,Redovna,MINDRAY,SYNO VENT E5,EE-07005466,DA,DA,DA,DA,DA,Volumen,100,95,5,10,DA,200,194,3,10,DA,400,388,3,10,DA,600,590,"1,67",10,DA,800,778,"2,75",10,DA,1000,947,"5,3",10,DA,Pritisak,200,0,0,10,DA,300,0,0,10,DA,400,0,0,10,DA,500,0,0,10,DA,700,0,0,10,DA,900,0,0,10,DA,
794/24,794/VL/24,18.3.2024.,Završena,VL-PRZ-07/02-25/2024,Komparativna,Redovna,MINDRAY,SV 300,GB7A004410,DA,DA,DA,DA,DA,Volumen,100,93,7,10,DA,200,187,"6,5",10,DA,400,372,7,10,DA,600,566,"5,67",10,DA,800,751,"6,13",10,DA,1000,931,"6,9",10,DA,Pritisak,200,0,0,10,DA,300,0,0,10,DA,400,0,0,10,DA,500,0,0,10,DA,700,0,0,10,DA,900,0,0,10,DA,
780/24,780/VL/24,18.3.2024.,Završena,VL-PRZ-07/02-25/2024,Komparativna,Redovna,GE - General Electric,CARESCAPE R860,CBRW02421,DA,DA,DA,DA,DA,Volumen,100,97,3,10,DA,200,191,"4,5",10,DA,400,378,"5,5",10,DA,600,588,2,10,DA,800,774,"3,25",10,DA,1000,951,"4,9",10,DA,Pritisak,200,0,0,10,DA,300,0,0,10,DA,400,0,0,10,DA,500,0,0,10,DA,700,0,0,10,DA,900,0,0,10,DA,
798/24,798/VL/24,18.3.2024.,Završena,VL-PRZ-07/02-25/2024,Komparativna,Redovna,MINDRAY,CARESCAPE R860,CBRW02425,DA,DA,DA,DA,DA,Volumen,100,95,5,10,DA,200,192,4,10,DA,400,389,"2,75",10,DA,600,589,"1,83",10,DA,800,784,2,10,DA,1000,954,"4,6",10,DA,Pritisak,200,0,0,10,DA,300,0,0,10,DA,400,0,0,10,DA,500,0,0,10,DA,700,0,0,10,DA,900,0,0,10,DA,
823/24,823/VL/24,20.3.2024.,Završena,VL-PRZ-07/02-25/2024,Komparativna,Redovna,GE - General Electric,CARESCAPE R860,CBRW02422,DA,DA,DA,DA,DA,Volumen,200,"209,8","4,9",10,DA,300,"315,6","5,2",10,DA,400,"388,3","2,92",10,DA,500,"510,9","2,18",10,DA,600,"630,8","5,13",10,DA,700,"748,2","6,89",10,DA,Pritisak,200,0,0,10,DA,300,0,0,10,DA,400,0,0,10,DA,500,0,0,10,DA,700,0,0,10,DA,900,0,0,10,DA,
824/24,824/VL/24,20.3.2024.,Završena,VL-PRZ-07/02-25/2024,Komparativna,Redovna,GE - General Electric,CARESCAPE R860,CBRW02424,DA,DA,DA,DA,DA,Volumen,200,"205,9","2,95",10,DA,300,"316,4","5,47",10,DA,400,"428,7","7,17",10,DA,500,"525,2","5,04",10,DA,600,"643,2","7,2",10,DA,700,"760,2","8,6",10,DA,Pritisak,200,0,0,10,DA,300,0,0,10,DA,400,0,0,10,DA,500,0,0,10,DA,700,0,0,10,DA,900,0,0,10,DA,
904/24,904/VL/24,29.3.2024.,Završena,Narudzbenica br. 1890,Komparativna,Prva,DRAGER,OXYLOG 2000,SRYE-0117,DA,DA,DA,DA,DA,Volumen,100,96,4,10,DA,200,190,5,10,DA,400,386,"3,5",10,DA,600,578,"3,67",10,DA,800,780,"2,5",10,DA,1000,932,"6,8",10,DA,Pritisak,200,0,0,10,DA,300,0,0,10,DA,400,0,0,10,DA,500,0,0,10,DA,700,0,0,10,DA,900,0,0,10,DA,
897/24,897/VL/24,29.3.2024.,Završena,Narudzbenica br. 1890,Komparativna,Prva,WEINMANN,MEDUMAT TRANSPORT,3020,DA,DA,DA,DA,DA,Volumen,100,95,5,10,DA,200,195,"2,5",10,DA,400,390,"2,5",10,DA,600,576,4,10,DA,800,764,"4,5",10,DA,1000,942,"5,8",10,DA,Pritisak,200,0,0,10,DA,300,0,0,10,DA,400,0,0,10,DA,500,0,0,10,DA,700,0,0,10,DA,900,0,0,10,DA,
903/24,903/VL/24,29.3.2024.,Završena,Narudzbenica br. 1890,Komparativna,Prva,DRAGER,OXYLOG 2000,SRUM-0099,DA,DA,DA,DA,DA,Volumen,100,95,5,10,DA,200,187,"6,5",10,DA,400,390,"2,5",10,DA,600,578,"3,67",10,DA,800,781,"2,38",10,DA,1000,944,"5,6",10,DA,Pritisak,200,0,0,10,DA,300,0,0,10,DA,400,0,0,10,DA,500,0,0,10,DA,700,0,0,10,DA,900,0,0,10,DA,
899/24,899/VL/24,29.3.2024.,Završena,Narudzbenica br. 1890,Komparativna,Prva,WEINMANN,MEDUMAT TRANSPORT,1713,DA,DA,DA,DA,DA,Volumen,100,95,5,10,DA,200,196,2,10,DA,400,376,6,10,DA,600,581,"3,17",10,DA,800,766,"4,25",10,DA,1000,940,6,10,DA,Pritisak,200,0,0,10,DA,300,0,0,10,DA,400,0,0,10,DA,500,0,0,10,DA,700,0,0,10,DA,900,0,0,10,DA,
907/24,907/VL/24,29.3.2024.,Završena,Narudzbenica br. 1890,Komparativna,Prva,WEINMANN,MEDUMAT STANDARD,5999,DA,DA,DA,DA,DA,Volumen,100,95,5,10,DA,200,187,"6,5",10,DA,400,379,"5,25",10,DA,600,590,"1,67",10,DA,800,775,"3,13",10,DA,1000,941,"5,9",10,DA,Pritisak,200,0,0,10,DA,300,0,0,10,DA,400,0,0,10,DA,500,0,0,10,DA,700,0,0,10,DA,900,0,0,10,DA,
906/24,906/VL/24,29.3.2024.,Završena,Narudzbenica br. 1890,Komparativna,Prva,WEINMANN,MEDUMAT STANDARD,6005,DA,DA,DA,DA,DA,Volumen,100,96,4,10,DA,200,195,"2,5",10,DA,400,379,"5,25",10,DA,600,580,"3,33",10,DA,800,787,"1,63",10,DA,1000,938,"6,2",10,DA,Pritisak,200,0,0,10,DA,300,0,0,10,DA,400,0,0,10,DA,500,0,0,10,DA,700,0,0,10,DA,900,0,0,10,DA,
936/24,936/VL/24,1.4.2024.,Završena,Ugovor br. 01-2813-3/22 od 12.05.2023.,Komparativna,Prva,WEINMANN,MEDUVENT STANDARD,10636,DA,DA,DA,DA,DA,Volumen,100,97,3,10,DA,200,198,1,10,DA,400,392,2,10,DA,600,588,2,10,DA,800,790,"1,25",10,DA,1000,955,"4,5",10,DA,Pritisak,200,0,0,10,DA,300,0,0,10,DA,400,0,0,10,DA,500,0,0,10,DA,700,0,0,10,DA,900,0,0,10,DA,
1251/24,1251/VL/24,23.4.2024.,Završena,VL-PRZ-07/02-31/2024,Komparativna,Redovna,DRAGER,SAVINA 300,ASPD-0772,DA,DA,DA,DA,DA,Volumen,100,97,3,10,DA,200,193,"3,5",10,DA,400,390,"2,5",10,DA,600,588,2,10,DA,800,791,"1,13",10,DA,1000,951,"4,9",10,DA,Pritisak,200,0,0,10,DA,300,0,0,10,DA,400,0,0,10,DA,500,0,0,10,DA,700,0,0,10,DA,900,0,0,10,DA,
1249/24,1249/VL/24,23.4.2024.,Završena,VL-PRZ-07/02-31/2024,Komparativna,Prva,DRAGER,OXYLOG VE300,ASSL-0042,DA,DA,DA,DA,DA,Volumen,100,97,3,10,DA,200,193,"3,5",10,DA,400,390,"2,5",10,DA,600,587,"2,17",10,DA,800,768,4,10,DA,1000,960,4,10,DA,Pritisak,200,0,0,10,DA,300,0,0,10,DA,400,0,0,10,DA,500,0,0,10,DA,700,0,0,10,DA,900,0,0,10,DA,
1194/24,1194/VL/24,23.4.2024.,Završena,VL-PRZ-07/02-31/2024,Komparativna,Prva,DRAGER,OXYLOG VE300,ASSL-0041,DA,DA,DA,DA,DA,Volumen,100,96,4,10,DA,200,189,"5,5",10,DA,400,391,"2,25",10,DA,600,577,"3,83",10,DA,800,787,"1,63",10,DA,1000,971,"2,9",10,DA,Pritisak,200,0,0,10,DA,300,0,0,10,DA,400,0,0,10,DA,500,0,0,10,DA,700,0,0,10,DA,900,0,0,10,DA,
1175/24,1175/VL/24,23.4.2024.,Završena,VL-PRZ-07/02-31/2024,Komparativna,Prva,DRAGER,SAVINA 300,ASPD-0770,DA,DA,DA,DA,DA,Volumen,100,96,4,10,DA,200,197,"1,5",10,DA,400,392,2,10,DA,600,591,"1,5",10,DA,800,788,"1,5",10,DA,1000,956,"4,4",10,DA,Pritisak,200,0,0,10,DA,300,0,0,10,DA,400,0,0,10,DA,500,0,0,10,DA,700,0,0,10,DA,900,0,0,10,DA,
1248/24,1248/VL/24,23.4.2024.,Završena,VL-PRZ-07/02-31/2024,Komparativna,Prva,DRAGER,SAVINA 300,ASPD-0769,DA,DA,DA,DA,DA,Volumen,100,96,4,10,DA,200,196,2,10,DA,400,385,"3,75",10,DA,600,590,"1,67",10,DA,800,785,"1,88",10,DA,1000,945,"5,5",10,DA,Pritisak,200,0,0,10,DA,300,0,0,10,DA,400,0,0,10,DA,500,0,0,10,DA,700,0,0,10,DA,900,0,0,10,DA,
1171/24,1171/VL/24,23.4.2024.,Završena,VL-PRZ-07/02-31/2024,Komparativna,Prva,DRAGER,EVITA V800,ASSM-0023,DA,DA,DA,DA,DA,Volumen,100,97,3,10,DA,200,197,"1,5",10,DA,400,389,"2,75",10,DA,600,588,2,10,DA,800,794,"0,75",10,DA,1000,989,"1,1",10,DA,Pritisak,200,0,0,10,DA,300,0,0,10,DA,400,0,0,10,DA,500,0,0,10,DA,700,0,0,10,DA,900,0,0,10,DA,
1172/24,1172/VL/24,23.4.2024.,Završena,VL-PRZ-07/02-31/2024,Komparativna,Prva,DRAGER,SAVINA 300,ASPD-0771,DA,DA,DA,DA,DA,Volumen,100,97,3,10,DA,200,194,3,10,DA,400,390,"2,5",10,DA,600,592,"1,33",10,DA,800,790,"1,25",10,DA,1000,960,4,10,DA,Pritisak,200,0,0,10,DA,300,0,0,10,DA,400,0,0,10,DA,500,0,0,10,DA,700,0,0,10,DA,900,0,0,10,DA,
1169/24,1169/VL/24,30.4.2024.,Završena,Ugovor br. 83-3/24 od 10.01.2024.,Komparativna,Redovna,Spencer,190 NXT,OP3-19-12659-01-0003,DA,DA,DA,DA,DA,Volumen,200,0,0,10,DA,300,0,0,10,DA,400,0,0,10,DA,500,0,0,10,DA,600,0,0,10,DA,700,0,0,10,DA,Pritisak,15,"14,2","5,33",10,DA,20,"18,9","5,5",10,DA,30,"27,8","7,33",10,DA,40,"38,8",3,10,DA,50,"47,4","5,2",10,DA,60,"56,8","5,33",10,DA,
1397/24,1397/VL/24,8.5.2024.,Završena,Ugovor br. 32-04-2465/22 od 05.04.2022.,Komparativna,Redovna,DRAGER,EVITA INFINITY V500,ASNH-0204,DA,DA,DA,DA,DA,Volumen,100,96,4,10,DA,200,188,6,10,DA,400,390,"2,5",10,DA,600,589,"1,83",10,DA,800,784,2,10,DA,1000,942,"5,8",10,DA,Pritisak,200,0,0,10,DA,300,0,0,10,DA,400,0,0,10,DA,500,0,0,10,DA,700,0,0,10,DA,900,0,0,10,DA,
1398/24,1398/VL/24,8.5.2024.,Završena,Ugovor br. 32-04-2465/22 od 05.04.2022.,Komparativna,Redovna,DRAGER,EVITA V500,ASNH-0196,DA,DA,DA,DA,DA,Volumen,100,96,4,10,DA,200,194,3,10,DA,400,390,"2,5",10,DA,600,578,"3,67",10,DA,800,769,"3,88",10,DA,1000,950,5,10,DA,Pritisak,200,0,0,10,DA,300,0,0,10,DA,400,0,0,10,DA,500,0,0,10,DA,700,0,0,10,DA,900,0,0,10,DA,
1366/24,1366/VL/24,17.5.2024.,Završena,Narudzbenica br. 229 od 17.05.2024.,Komparativna,Redovna,DRAGER,Evita 4,ARND-0130,DA,DA,DA,DA,DA,Volumen,100,93,7,10,DA,200,185,"7,5",10,DA,400,380,5,10,DA,600,585,"2,5",10,DA,800,756,"5,5",10,DA,1000,932,"6,8",10,DA,Pritisak,200,0,0,10,DA,300,0,0,10,DA,400,0,0,10,DA,500,0,0,10,DA,700,0,0,10,DA,900,0,0,10,DA,
1369/24,1369/VL/24,17.5.2024.,Završena,Narudzbenica br. 229 od 17.05.2024.,Komparativna,Redovna,LOWENSTEIN MEDICAL,PRISMA VENT50-C,99003823,DA,DA,DA,DA,DA,Volumen,100,95,5,10,DA,200,198,1,10,DA,400,393,"1,75",10,DA,600,590,"1,67",10,DA,800,789,"1,38",10,DA,1000,950,5,10,DA,Pritisak,200,0,0,10,DA,300,0,0,10,DA,400,0,0,10,DA,500,0,0,10,DA,700,0,0,10,DA,900,0,0,10,DA,
1367/24,1367/VL/24,17.5.2024.,Završena,Narudzbenica br. 229 od 17.05.2024.,Komparativna,Prva,DRAGER,OXYLOG HORGEN 3,245,DA,DA,DA,DA,DA,Volumen,100,97,3,10,DA,200,196,2,10,DA,400,389,"2,75",10,DA,600,590,"1,67",10,DA,800,786,"1,75",10,DA,1000,942,"5,8",10,DA,Pritisak,200,0,0,10,DA,300,0,0,10,DA,400,0,0,10,DA,500,0,0,10,DA,700,0,0,10,DA,900,0,0,10,DA,
1452/24,1452/VL/24,27.5.2024.,Završena,Narudžbenica br. 38/24 od 12.04.2024.,Komparativna,Redovna,DRAGER,EVITA INFINITY V500,ASPK-0273,DA,DA,DA,DA,DA,Volumen,100,104,4,10,DA,300,309,3,10,DA,400,418,"4,5",10,DA,500,521,"4,2",10,DA,700,718,"2,57",10,DA,900,932,"3,56",10,DA,Pritisak,200,0,0,10,DA,300,0,0,10,DA,400,0,0,10,DA,500,0,0,10,DA,700,0,0,10,DA,900,0,0,10,DA,
